Country,Region,Electricity_generated_kW,Education_expenditure_percent_GDP,Energy_consumption_per_capita_BtuPerPerson,Reserves_of_foreign_exchange_dollars
NEPAL,South Asia,2853000,4.2,6604000,12456000000
EL SALVADOR,Central America and the Caribbean,2803000,4.1,24421000,3590000000
ZIMBABWE,Africa,2491000,3.9,10855000,261373000
BHUTAN,South Asia,2344000,7.0,64082000,928229000
COTE D'IVOIRE,Africa,2315000,3.4,8489000,6257000000
CYPRUS,Europe,2288000,6.1,107188000,921269000
LUXEMBOURG,Europe,2212000,5.0,224651000,2602000000
NICARAGUA,Central America and the Caribbean,1849000,4.6,10660000,6105000000
TANZANIA,Africa,1818000,3.3,4091000,5050000000
CAMEROON,Africa,1798000,3.2,4271000,4882000000
SENEGAL,Africa,1772000,5.5,8303000,1827000000
MONGOLIA,East and Southeast Asia,1510000,4.7,67132000,4891000000
UGANDA,Africa,1452000,2.7,2252000,3359000000
JAMAICA,Central America and the Caribbean,1242000,6.0,42095000,4869000000
MALI,Africa,1222000,4.4,4307000,647800000
PAPUA NEW GUINEA,East and Southeast Asia,1148000,1.4,8781000,3901000000
GUINEA,Africa,1060000,2.2,5235000,1887000000
MAURITIUS,Africa,955000,4.9,60188000,7465000000
BRUNEI,East and Southeast Asia,904000,4.4,403365000,4032000000
"CONGO, REPUBLIC OF THE",Africa,842000,4.5,7351000,715391000
MALTA,Europe,829000,5.9,234698000,1402000000
MAURITANIA,Africa,812000,1.9,14135000,2039000000
GABON,Africa,785000,3.2,22101000,1447000000
MOLDOVA,Europe,779000,6.4,35686000,5477000000
MADAGASCAR,Africa,759000,3.1,1816000,2785000000
BOTSWANA,Africa,758000,8.7,32443000,4756000000
BURKINA FASO,Africa,749000,5.5,3481000,49000000
MALAWI,Africa,731000,2.9,1792000,594498000
NAMIBIA,Africa,646000,9.6,21734000,3356000000
AFGHANISTAN,South Asia,627000,2.9,3380000,9749000000
"BAHAMAS, THE",Central America and the Caribbean,608000,2.8,104409000,2512000000
SURINAME,South America,537000,5.0,60896000,1530000000
BENIN,Africa,505000,3.0,6472000,698900000
HAITI,Central America and the Caribbean,472000,1.4,3486000,2566000000
MALDIVES,South Asia,432000,5.8,50886000,673203000
FIJI,Australia and Oceania,427000,5.7,25375000,1597000000
MACAU,East and Southeast Asia,427000,6.3,64641000,29392000000
NIGER,Africa,377000,3.8,1772000,1314000000
WEST BANK,Middle East,352000,5.3,14991000,1328000000
GAZA STRIP,Middle East,352000,5.3,14991000,1328000000
TOGO,Africa,326000,4.0,4538000,77800000
BARBADOS,Central America and the Caribbean,320000,6.5,68293000,1606000000
ARUBA,Central America and the Caribbean,305000,5.5,153952000,1468000000
RWANDA,Africa,294000,3.8,1808000,2406000000
ESWATINI,Africa,285000,5.0,18823000,479261000
TIMOR-LESTE,East and Southeast Asia,277000,4.2,6825000,781995000
GUYANA,South America,259000,4.5,46045000,1010000000
BELIZE,Central America and the Caribbean,220000,8.7,30752000,498087000
DJIBOUTI,Africa,210000,3.6,10428000,348725000
CABO VERDE,Africa,200000,7.6,19999000,783106000
LIBERIA,Africa,199000,2.7,1822000,599660000
CAYMAN ISLANDS,Central America and the Caribbean,176000,2.1,143149000,234000000
CHAD,Africa,167000,2.9,1502000,1050000000
"GAMBIA, THE",Africa,162000,2.8,2731000,577028000
SOMALIA,Africa,156000,0.3,649000,30450000
SEYCHELLES,Africa,156000,5.2,98847000,773678000
SIERRA LEONE,Africa,149000,9.1,2301000,495699000
ANTIGUA AND BARBUDA,Central America and the Caribbean,148000,3.8,110114000,358441000
SOUTH SUDAN,Africa,136000,1.5,2092000,72881000
BURUNDI,Africa,131000,5.0,946000,90350000
LESOTHO,Africa,104000,8.7,8117000,854089000
SAINT LUCIA,Central America and the Caribbean,93000,3.6,47522000,406064000
SAINT KITTS AND NEVIS,Central America and the Caribbean,72000,2.5,81454000,294748000
CENTRAL AFRICAN REPUBLIC,Africa,63000,2.2,954000,479593000
GRENADA,Central America and the Caribbean,60000,3.6,41703000,423263000
SAINT VINCENT AND THE GRENADINES,Central America and the Caribbean,55000,5.7,37253000,316824000
SAMOA,Australia and Oceania,54000,4.8,23476000,507740000
DOMINICA,Central America and the Caribbean,41000,5.5,36395000,155971000
VANUATU,Australia and Oceania,39000,2.2,12934000,643768000
SOLOMON ISLANDS,Australia and Oceania,37000,12.8,5655000,688220000
TONGA,Australia and Oceania,34000,6.6,23272000,396530000
COMOROS,Africa,32000,2.6,7139000,322436000
SAO TOME AND PRINCIPE,Africa,29000,5.0,8875000,46247000
GUINEA-BISSAU,Africa,29000,2.7,2351000,356400000
